"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 11 18:03:22 AEST 2021","Fri Jun 11 18:03:52 AEST 2021","29773","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"broken","Fri Jun 11 17:04:46 AEST 2021","Fri Jun 11 17:05:10 AEST 2021","23856","","My Login application","","My Login application","""after each"" hook for My Login application","""after each"" hook for My Login application",""
